output_column,source_family,rows_total,rows_nonnull,fill_rate,distinct_nonnull_count,column_group,example_source_column
harm_expenses_amount__source_column,givingtuesday_datamart,4381,4343,0.9913261812371604,3,field_provenance,
harm_expenses_amount__source_column,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_expenses_amount__source_column,nccs_efile,3866,3828,0.9901707190894982,1,field_provenance,
harm_expenses_amount__source_column,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_assets_amount__source_family,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_assets_amount__source_family,nccs_bmf,29793,28698,0.9632464001611116,1,field_provenance,
harm_assets_amount__source_family,nccs_efile,3866,2437,0.6303673047077082,1,field_provenance,
harm_assets_amount__source_family,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_assets_amount__source_variant,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_assets_amount__source_variant,nccs_bmf,29793,28698,0.9632464001611116,5,field_provenance,
harm_assets_amount__source_variant,nccs_efile,3866,2437,0.6303673047077082,3,field_provenance,
harm_assets_amount__source_variant,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_assets_amount__source_column,givingtuesday_datamart,4381,4381,1.0,2,field_provenance,
harm_assets_amount__source_column,nccs_bmf,29793,28698,0.9632464001611116,2,field_provenance,
harm_assets_amount__source_column,nccs_efile,3866,2437,0.6303673047077082,1,field_provenance,
harm_assets_amount__source_column,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_income_amount__source_family,givingtuesday_datamart,4381,4337,0.9899566309061858,1,field_provenance,
harm_income_amount__source_family,nccs_bmf,29793,28698,0.9632464001611116,1,field_provenance,
harm_income_amount__source_family,nccs_efile,3866,3843,0.9940506983962752,1,field_provenance,
harm_income_amount__source_family,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_income_amount__source_variant,givingtuesday_datamart,4381,4337,0.9899566309061858,1,field_provenance,
harm_income_amount__source_variant,nccs_bmf,29793,28698,0.9632464001611116,5,field_provenance,
harm_income_amount__source_variant,nccs_efile,3866,3843,0.9940506983962752,3,field_provenance,
harm_income_amount__source_variant,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_income_amount__source_column,givingtuesday_datamart,4381,4337,0.9899566309061858,3,field_provenance,
harm_income_amount__source_column,nccs_bmf,29793,28698,0.9632464001611116,2,field_provenance,
harm_income_amount__source_column,nccs_efile,3866,3843,0.9940506983962752,1,field_provenance,
harm_income_amount__source_column,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_gross_receipts_under_25000_flag__source_family,givingtuesday_datamart,4381,0,0.0,0,field_provenance,
harm_gross_receipts_under_25000_flag__source_family,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_gross_receipts_under_25000_flag__source_family,nccs_efile,3866,0,0.0,0,field_provenance,
harm_gross_receipts_under_25000_flag__source_family,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_gross_receipts_under_25000_flag__source_variant,givingtuesday_datamart,4381,0,0.0,0,field_provenance,
harm_gross_receipts_under_25000_flag__source_variant,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_gross_receipts_under_25000_flag__source_variant,nccs_efile,3866,0,0.0,0,field_provenance,
harm_gross_receipts_under_25000_flag__source_variant,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_gross_receipts_under_25000_flag__source_column,givingtuesday_datamart,4381,0,0.0,0,field_provenance,
harm_gross_receipts_under_25000_flag__source_column,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_gross_receipts_under_25000_flag__source_column,nccs_efile,3866,0,0.0,0,field_provenance,
harm_gross_receipts_under_25000_flag__source_column,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_is_hospital__source_family,givingtuesday_datamart,4381,2439,0.5567222095412007,1,field_provenance,
harm_is_hospital__source_family,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_is_hospital__source_family,nccs_efile,3866,35,0.009053285049146405,1,field_provenance,
harm_is_hospital__source_family,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_is_hospital__source_variant,givingtuesday_datamart,4381,2439,0.5567222095412007,1,field_provenance,
harm_is_hospital__source_variant,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_is_hospital__source_variant,nccs_efile,3866,35,0.009053285049146405,3,field_provenance,
harm_is_hospital__source_variant,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_is_hospital__source_column,givingtuesday_datamart,4381,2439,0.5567222095412007,1,field_provenance,
harm_is_hospital__source_column,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_is_hospital__source_column,nccs_efile,3866,35,0.009053285049146405,1,field_provenance,
harm_is_hospital__source_column,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_is_university__source_family,givingtuesday_datamart,4381,1097,0.2503994521798676,1,field_provenance,
harm_is_university__source_family,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_is_university__source_family,nccs_efile,3866,114,0.029487842731505433,1,field_provenance,
harm_is_university__source_family,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_is_university__source_variant,givingtuesday_datamart,4381,1097,0.2503994521798676,1,field_provenance,
harm_is_university__source_variant,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_is_university__source_variant,nccs_efile,3866,114,0.029487842731505433,3,field_provenance,
harm_is_university__source_variant,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_is_university__source_column,givingtuesday_datamart,4381,1097,0.2503994521798676,1,field_provenance,
harm_is_university__source_column,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_is_university__source_column,nccs_efile,3866,114,0.029487842731505433,1,field_provenance,
harm_is_university__source_column,nccs_postcard,3461,0,0.0,0,field_provenance,
org_match_quality,givingtuesday_datamart,4381,4381,1.0,1,overlay_diagnostic,
org_match_quality,nccs_bmf,29793,29793,1.0,1,overlay_diagnostic,
org_match_quality,nccs_efile,3866,3866,1.0,1,overlay_diagnostic,
org_match_quality,nccs_postcard,3461,3461,1.0,1,overlay_diagnostic,
bmf_overlay_applied,givingtuesday_datamart,4381,4381,1.0,2,overlay_diagnostic,
bmf_overlay_applied,nccs_bmf,29793,29793,1.0,1,overlay_diagnostic,
bmf_overlay_applied,nccs_efile,3866,3866,1.0,2,overlay_diagnostic,
bmf_overlay_applied,nccs_postcard,3461,3461,1.0,2,overlay_diagnostic,
bmf_overlay_field_count,givingtuesday_datamart,4381,4381,1.0,3,overlay_diagnostic,
bmf_overlay_field_count,nccs_bmf,29793,29793,1.0,1,overlay_diagnostic,
bmf_overlay_field_count,nccs_efile,3866,3866,1.0,3,overlay_diagnostic,
bmf_overlay_field_count,nccs_postcard,3461,3461,1.0,4,overlay_diagnostic,
bmf_overlay_fields,givingtuesday_datamart,4381,4201,0.9589134900707601,2,overlay_diagnostic,
bmf_overlay_fields,nccs_bmf,29793,0,0.0,0,overlay_diagnostic,
bmf_overlay_fields,nccs_efile,3866,3714,0.9606828763579928,2,overlay_diagnostic,
bmf_overlay_fields,nccs_postcard,3461,3091,0.8930944813637677,4,overlay_diagnostic,
harm_revenue_amount_num,givingtuesday_datamart,4381,4368,0.9970326409495549,4221,numeric_helper,
harm_revenue_amount_num,nccs_bmf,29793,19924,0.668747692410969,7038,numeric_helper,
harm_revenue_amount_num,nccs_efile,3866,3853,0.9966373512674599,3777,numeric_helper,
harm_revenue_amount_num,nccs_postcard,3461,0,0.0,0,numeric_helper,
harm_expenses_amount_num,givingtuesday_datamart,4381,4343,0.9913261812371604,4231,numeric_helper,
harm_expenses_amount_num,nccs_bmf,29793,0,0.0,0,numeric_helper,
harm_expenses_amount_num,nccs_efile,3866,3828,0.9901707190894982,3776,numeric_helper,
harm_expenses_amount_num,nccs_postcard,3461,0,0.0,0,numeric_helper,
harm_assets_amount_num,givingtuesday_datamart,4381,4381,1.0,4161,numeric_helper,
harm_assets_amount_num,nccs_bmf,29793,23928,0.8031416775752693,7952,numeric_helper,
